pub_id  	msc_num
42079749	11793
42084783	11795
42040489	13396
42079496	13441
42040462	13447
42040609	13449
42040485	14309
42040403	15188
42040426	15205
42040466	15289
42040438	16099
42079464	16474
42084544	16567
42085965	16652
42040789	17416
42040794	17487
42040798	17532
42040783	17592
42040810	17739
42040850	17763
42040855	17946
42040859	18170
42067538	18645
42085998	18846
42067531	18897
42040864	18901
42040910	18948
42067543	18981
42040869	18982
42040873	18985
42067567	18987
42040877	19078
42085790	19117
42085810	19128
42079690	19136
42091144	20349
42091135	20365
42091138	20416
42040916	20417
42091153	20442
42091159	20449
42091132	20481
42091109	20497
42091156	20502
42091129	20509
42091116	20513
42091147	20527
42101736	20544
42091119	20585
42102723	20590
42091150	20594
42091141	20602
42095778	20605
42095854	20626
42095860	20638
42095863	20647
42095888	20650
42095891	20653
42095977	20655
42095987	20675
42096067	20678
42040890	20685
42096070	20689
42096117	20690
48496602	20692
42101286	20695
42103061	20701
42101172	20769
42101183	20770
42101189	20912
42101186	20915
42101316	20919
42101192	20928
42101319	20938
42101322	20939
42040882	21344
42040920	21693
42067634	23603
42067549	23644
42067639	23663
42040955	25064
42040925	25711
42040930	26260
42040946	26374
42109298	32855
43478492	32869
43372264	32870
43324203	32871
43337083	32912
43183035	32913
43329328	32914
42040960	32974
42090827	32999
42085745	33218
42079020	33341
42085968	33457
42096123	33514
42084603	33617
42670802	33678
42079726	33680
42085986	33687
42090630	33819
42085758	33866
42079026	34009
42079032	34204
42067573	34227
43338913	34259
42079731	34349
42070635	34457
42079737	34467
42090795	34480
42085552	34484
42084678	34527
43391518	34549
42084777	34592
42085992	34594
42085974	34719
42069490	34841
42084923	34861
42069485	34961
42084681	34965
42040739	35100
42040779	35118
42084557	35155
42084560	35156
42084563	35175
42084566	35176
42084569	35189
42084508	35190
43391521	35200
42040895	35223
42073601	35304
42079009	35318
43391524	35330
42084666	35354
43387719	35460
42073607	35466
42084672	35510
42040900	35617
43391536	35932
43495585	35955
42040905	38117
42040936	41250
42040941	41390
43645649	44662
42040951	44688
42084771	44747
42040966	44755
42085980	46118
42079015	46141
42084529	46149
42079696	46157
42080286	46961
43495603	46975
42086004	46982
42085604	46987
42084535	47016
42080161	47032
42084541	47721
42080066	47726
42080292	47736
42079702	47743
42080179	47797
42079708	47803
42080298	47813
43739975	48441
42102283	48443
42079715	48445
42080185	48455
42067341	49631
42079743	50764
42085739	53354
42085679	54515
42069699	56126
42084684	57342
42085844	57677
42102297	57816
42079504	60127
42085854	60521
42079393	61548
42067362	61675
42067368	62505
42069515	62850
42069497	62851
42069503	62852
42069509	62854
42085685	69295
42069520	69420
42069525	69421
43522186	76331
42069531	93278
42085223	98602
42084690	98604
